seed,strategy,steps,quote_opportunities,fill_opportunity_quantity,fills,buy_fills,sell_fills,final_inventory,final_cash,final_mid_price,mark_to_market_pnl,max_abs_inventory,post_fill_markout_pnl,negative_markout_quantity
71,fixed_spread,500,304,403,185,96,89,7,-69527,10009,536,17,173,28
72,fixed_spread,500,313,406,191,93,98,-5,50955,10055,680,15,244,16
73,fixed_spread,500,294,390,200,94,106,-12,120484,10014,316,22,188,28
74,fixed_spread,500,313,427,224,111,113,-2,20381,9983,415,10,182,38
75,fixed_spread,500,312,418,214,88,126,-38,381443,10063,-951,45,208,25
76,fixed_spread,500,309,405,182,90,92,-2,19984,9978,28,13,157,23
77,fixed_spread,500,294,394,198,110,88,22,-219844,10028,772,27,177,24
78,fixed_spread,500,293,393,190,97,93,4,-39528,9978,384,11,152,30
79,fixed_spread,500,319,432,226,109,117,-8,80080,9970,320,17,201,30
80,fixed_spread,500,301,401,194,95,99,-4,39993,10039,-163,20,186,28
81,fixed_spread,500,294,392,188,90,98,-8,80381,10009,309,11,184,27
82,fixed_spread,500,301,411,197,102,95,7,-69717,9999,276,10,189,34
83,fixed_spread,500,296,391,198,93,105,-12,119923,9984,115,16,180,32
84,fixed_spread,500,304,394,185,102,83,19,-189420,9964,-104,22,172,22
85,fixed_spread,500,321,422,210,112,98,14,-139980,10006,104,18,170,20
86,fixed_spread,500,316,417,220,99,121,-22,221035,10044,67,29,215,25
87,fixed_spread,500,297,385,193,108,85,23,-228355,9939,242,23,145,37
88,fixed_spread,500,302,404,208,102,106,-4,40125,9963,273,8,169,35
89,fixed_spread,500,316,421,206,101,105,-4,40425,9999,429,17,212,23
90,fixed_spread,500,308,397,206,117,89,28,-279352,9967,-276,34,212,21
91,fixed_spread,500,291,396,202,97,105,-8,80642,9960,962,27,144,43
92,fixed_spread,500,291,381,177,95,82,13,-129823,9987,8,16,146,24
93,fixed_spread,500,294,388,204,120,84,36,-360158,9991,-482,39,193,26
94,fixed_spread,500,302,392,184,92,92,0,381,10001,381,8,164,26
95,fixed_spread,500,282,384,191,100,91,9,-89569,10005,476,14,186,22
96,fixed_spread,500,291,381,171,98,73,25,-249267,9990,483,31,174,28
97,fixed_spread,500,296,391,178,96,82,14,-139965,9983,-203,19,163,21
98,fixed_spread,500,303,408,204,108,96,12,-119001,9951,411,12,206,23
99,fixed_spread,500,294,385,202,101,101,0,167,10019,167,31,172,26
100,fixed_spread,500,299,407,195,82,113,-31,310236,9979,887,34,182,25
1,inventory_aware,500,240,311,152,75,77,-2,20040,10003,34,5,151,20
2,inventory_aware,500,232,310,144,73,71,2,-19887,10014,141,5,125,17
3,inventory_aware,500,244,331,157,80,77,3,-29872,10033,227,4,176,15
4,inventory_aware,500,241,325,153,75,78,-3,29989,9958,115,5,170,17
5,inventory_aware,500,268,348,146,72,74,-2,20199,10016,167,3,140,22
6,inventory_aware,500,235,317,147,74,73,1,-9785,9974,189,5,166,22
7,inventory_aware,500,233,303,148,74,74,0,219,9986,219,5,168,23
8,inventory_aware,500,252,339,157,80,77,3,-29654,9965,241,5,142,21
9,inventory_aware,500,242,321,158,80,78,2,-19743,9972,201,5,157,29
10,inventory_aware,500,248,335,161,80,81,-1,10206,10035,171,4,191,21
11,inventory_aware,500,239,308,154,78,76,2,-19932,10014,96,6,123,29
12,inventory_aware,500,266,361,162,81,81,0,226,9959,226,4,166,17
13,inventory_aware,500,257,324,173,85,88,-3,30266,10048,122,6,182,17
14,inventory_aware,500,217,282,150,74,76,-2,20256,10019,218,5,180,15
15,inventory_aware,500,237,303,147,73,74,-1,10070,9956,114,5,160,14
16,inventory_aware,500,243,339,156,80,76,4,-39876,9974,20,6,139,26
17,inventory_aware,500,253,340,174,87,87,0,99,9984,99,6,155,30
18,inventory_aware,500,241,310,146,73,73,0,144,10013,144,4,162,23
19,inventory_aware,500,260,356,184,91,93,-2,20212,10046,120,5,175,12
20,inventory_aware,500,262,337,153,75,78,-3,29868,9930,78,4,142,17
21,inventory_aware,500,245,329,172,86,86,0,178,10024,178,5,158,26
22,inventory_aware,500,246,325,149,74,75,-1,10128,9953,175,4,163,15
23,inventory_aware,500,224,304,149,75,74,1,-9992,10051,59,5,197,8
24,inventory_aware,500,253,337,162,81,81,0,121,9949,121,3,133,27
25,inventory_aware,500,242,325,160,81,79,2,-19816,9988,160,5,172,22
26,inventory_aware,500,242,332,140,72,68,4,-40076,10014,-20,6,137,18
27,inventory_aware,500,246,324,159,79,80,-1,10243,10017,226,4,140,29
28,inventory_aware,500,237,299,125,63,62,1,-9966,10021,55,4,140,11
29,inventory_aware,500,228,320,154,78,76,2,-19784,9966,148,6,174,15
30,inventory_aware,500,228,303,128,65,63,2,-19947,9986,25,4,139,9
31,inventory_aware,500,237,316,156,77,79,-2,20149,10000,149,5,187,14
32,inventory_aware,500,249,328,152,76,76,0,181,10021,181,5,168,18
33,inventory_aware,500,244,324,147,74,73,1,-9801,10039,238,5,173,16
34,inventory_aware,500,243,328,173,87,86,1,-9731,9971,240,5,169,23
35,inventory_aware,500,229,288,136,69,67,2,-19727,9958,189,6,137,18
36,inventory_aware,500,220,300,147,74,73,1,-9724,9955,231,5,148,18
37,inventory_aware,500,222,302,163,80,83,-3,30337,10054,175,5,152,20
38,inventory_aware,500,265,359,159,78,81,-3,30170,9994,188,4,166,16
39,inventory_aware,500,236,310,162,82,80,2,-19944,10016,88,5,174,13
40,inventory_aware,500,239,326,133,66,67,-1,9974,9999,-25,5,112,20
41,inventory_aware,500,240,325,174,88,86,2,-19768,9981,194,6,182,25
42,inventory_aware,500,263,355,189,94,95,-1,10280,10038,242,5,234,19
43,inventory_aware,500,257,344,181,91,90,1,-9797,10053,256,4,222,11
44,inventory_aware,500,237,315,152,75,77,-2,20079,9967,145,6,165,15
45,inventory_aware,500,247,334,150,75,75,0,72,10002,72,5,153,22
46,inventory_aware,500,258,344,177,89,88,1,-9876,10041,165,5,165,27
47,inventory_aware,500,248,332,167,83,84,-1,10147,9993,154,5,208,21
48,inventory_aware,500,231,313,169,85,84,1,-9780,9974,194,4,203,15
49,inventory_aware,500,242,317,144,73,71,2,-19952,9997,42,5,157,20
50,inventory_aware,500,251,338,157,79,78,1,-9783,9971,188,4,134,18
51,inventory_aware,500,232,300,141,71,70,1,-9820,10043,223,5,144,16
52,inventory_aware,500,263,358,186,94,92,2,-19708,10009,310,5,197,24
53,inventory_aware,500,256,332,164,83,81,2,-19847,10004,161,5,158,26
54,inventory_aware,500,269,346,164,82,82,0,138,9997,138,6,132,33
55,inventory_aware,500,241,311,133,67,66,1,-10071,10055,-16,4,138,20
56,inventory_aware,500,252,337,148,74,74,0,113,9967,113,5,169,18
57,inventory_aware,500,233,321,137,70,67,3,-29819,10014,223,4,154,20
58,inventory_aware,500,235,310,153,76,77,-1,10189,9989,200,5,163,15
59,inventory_aware,500,248,326,135,66,69,-3,30226,10050,76,5,147,16
60,inventory_aware,500,248,330,180,89,91,-2,20241,10008,225,5,170,25
61,inventory_aware,500,231,304,172,85,87,-2,20188,10004,180,5,177,19
62,inventory_aware,500,233,307,157,78,79,-1,10107,9999,108,6,163,28
63,inventory_aware,500,267,350,168,84,84,0,211,10016,211,5,173,28
64,inventory_aware,500,256,356,163,83,80,3,-29631,9970,279,5,191,24
65,inventory_aware,500,231,306,151,77,74,3,-29827,10011,206,6,159,17
66,inventory_aware,500,234,323,156,79,77,2,-19877,9994,111,5,176,23
67,inventory_aware,500,253,343,148,73,75,-2,20131,9974,183,5,152,21
68,inventory_aware,500,227,304,163,80,83,-3,30248,10030,158,6,167,32
69,inventory_aware,500,238,323,160,79,81,-2,20247,10008,231,5,169,20
70,inventory_aware,500,224,292,136,69,67,2,-19724,9953,182,5,138,14
71,inventory_aware,500,248,331,142,70,72,-2,20167,10009,149,4,166,14
72,inventory_aware,500,244,325,140,70,70,0,76,10055,76,5,188,7
73,inventory_aware,500,243,319,158,81,77,4,-39852,10014,204,6,194,14
74,inventory_aware,500,257,355,170,83,87,-4,40182,9983,250,5,177,20
75,inventory_aware,500,245,326,153,77,76,1,-10035,10063,28,5,164,19
76,inventory_aware,500,245,318,137,69,68,1,-9869,9978,109,5,159,15
77,inventory_aware,500,242,326,155,77,78,-1,10181,10028,153,4,152,11
78,inventory_aware,500,222,304,132,67,65,2,-19868,9978,88,5,122,19
79,inventory_aware,500,237,318,146,74,72,2,-19885,9970,55,4,170,16
80,inventory_aware,500,248,330,145,74,71,3,-29997,10039,120,4,140,25
81,inventory_aware,500,270,358,173,87,86,1,-9729,10009,280,4,161,19
82,inventory_aware,500,263,362,167,83,84,-1,10322,9999,323,5,181,30
83,inventory_aware,500,246,320,170,86,84,2,-19823,9984,145,3,162,30
84,inventory_aware,500,260,339,151,75,76,-1,10144,9964,180,4,135,21
85,inventory_aware,500,267,361,193,95,98,-3,30198,10006,180,4,166,21
86,inventory_aware,500,253,336,172,84,88,-4,40436,10044,260,5,214,17
87,inventory_aware,500,230,295,138,69,69,0,27,9939,27,5,166,20
88,inventory_aware,500,245,328,155,78,77,1,-9891,9963,72,6,177,13
89,inventory_aware,500,280,368,172,86,86,0,250,9999,250,4,185,19
90,inventory_aware,500,240,316,146,71,75,-4,40038,9967,170,4,176,18
91,inventory_aware,500,231,312,156,79,77,2,-19792,9960,128,4,134,28
92,inventory_aware,500,250,324,152,75,77,-2,20196,9987,222,3,136,17
93,inventory_aware,500,255,336,175,88,87,1,-9661,9991,330,6,202,16
94,inventory_aware,500,259,340,162,81,81,0,268,10001,268,4,188,16
95,inventory_aware,500,232,316,160,82,78,4,-39886,10005,134,6,164,21
96,inventory_aware,500,235,307,144,72,72,0,169,9990,169,6,164,17
97,inventory_aware,500,223,287,130,66,64,2,-20020,9983,-54,6,175,6
98,inventory_aware,500,234,311,148,75,73,2,-19766,9951,136,4,140,24
99,inventory_aware,500,228,297,125,62,63,-1,10056,10019,37,5,129,18
100,inventory_aware,500,235,323,154,76,78,-2,20153,9979,195,5,142,24
