action_counts,buy_fills,fill_opportunity_quantity,fill_ratio,fills,final_inventory,gross_spread_capture_pnl,liquidation_cost_pnl,mark_to_market_pnl,max_abs_inventory,mean_abs_inventory,negative_markout_loss,negative_markout_quantity,net_pnl,policy,post_fill_markout_pnl,quote_opportunities,regime,seed,sell_fills,steps,strategy,total_reward,transaction_cost_pnl
,29,132,0.4469697,59,-1,128.0,2.15,143.15000000001055,5,1.4833333333333334,11.0,7,141.00000000001054,bayesian_toxicity,87.0,96,calm_high_cost,100006,30,300,bayesian_toxicity,141.00000000001054,8.850000000000001
,51,240,0.49583333,119,-17,238.0,34.34,332.6200000002282,22,15.593333333333334,65.0,35,298.28000000022814,fixed_spread,59.0,176,volatile_low_cost,100007,68,300,fixed_spread,298.28000000022814,2.3800000000000017
,48,189,0.50793651,96,0,212.0,0.0,73.07999999996537,5,2.05,56.0,29,73.07999999996537,inventory_aware,48.0,140,volatile_low_cost,100007,48,300,inventory_aware,73.07999999996537,1.9200000000000013
,51,201,0.50746269,102,0,225.0,0.0,133.95999999995547,6,2.1266666666666665,59.0,30,133.95999999995547,avellaneda_stoikov,53.0,149,volatile_low_cost,100007,51,300,avellaneda_stoikov,133.95999999995547,2.0400000000000014
,39,147,0.52380952,77,1,188.0,2.02,107.45999999996639,5,1.2933333333333332,28.0,16,105.43999999996639,bayesian_toxicity,56.0,109,volatile_low_cost,100007,38,300,bayesian_toxicity,105.43999999996639,1.540000000000001
,39,233,0.40343348,94,-16,188.0,34.4,-215.09999999971478,21,11.25,82.0,46,-249.4999999997148,fixed_spread,-3.0,176,volatile_high_cost,100008,55,300,fixed_spread,-249.4999999997148,14.100000000000016
,34,195,0.35384615,69,-1,162.0,2.15,-19.34999999998763,5,2.36,48.0,29,-21.49999999998763,inventory_aware,10.0,144,volatile_high_cost,100008,35,300,inventory_aware,-21.49999999998763,10.350000000000009
,40,219,0.36986301,81,-1,181.0,2.15,-4.149999999997817,5,1.9033333333333333,57.0,35,-6.299999999997818,avellaneda_stoikov,11.0,164,volatile_high_cost,100008,41,300,avellaneda_stoikov,-6.299999999997818,12.150000000000011
,25,146,0.34246575,50,0,128.0,0.0,-1.49999999998181,3,1.0933333333333333,30.0,17,-1.49999999998181,bayesian_toxicity,21.0,112,volatile_high_cost,100008,25,300,bayesian_toxicity,-1.49999999998181,7.500000000000003
,51,186,0.51075269,95,7,190.0,14.14,210.0999999999185,17,8.946666666666667,7.0,7,195.95999999991852,fixed_spread,142.0,137,calm_low_cost,100009,44,300,fixed_spread,195.95999999991852,1.9000000000000012
,35,156,0.44230769,69,1,155.0,2.02,113.61999999996988,4,1.4933333333333334,5.0,5,111.59999999996988,inventory_aware,116.0,114,calm_low_cost,100009,34,300,inventory_aware,111.59999999996988,1.3800000000000008
,35,160,0.4375,70,0,158.0,0.0,115.59999999997308,5,1.51,5.0,5,115.59999999997308,avellaneda_stoikov,119.0,117,calm_low_cost,100009,35,300,avellaneda_stoikov,115.59999999997308,1.4000000000000008
,32,135,0.46666667,63,1,143.0,2.02,110.7399999999725,4,1.17,2.0,2,108.7199999999725,bayesian_toxicity,113.0,99,calm_low_cost,100009,31,300,bayesian_toxicity,108.7199999999725,1.2600000000000007
,43,178,0.46629213,83,3,166.0,6.449999999999999,184.54999999998108,7,2.566666666666667,4.0,3,178.0999999999811,fixed_spread,134.0,138,calm_high_cost,100010,40,300,fixed_spread,178.0999999999811,12.450000000000012
,35,150,0.46666667,70,0,149.0,0.0,84.50000000002183,3,1.18,4.0,3,84.50000000002183,inventory_aware,118.0,118,calm_high_cost,100010,35,300,inventory_aware,84.50000000002183,10.500000000000007
,35,150,0.46666667,70,0,149.0,0.0,84.50000000002183,3,1.18,4.0,3,84.50000000002183,avellaneda_stoikov,118.0,118,calm_high_cost,100010,35,300,avellaneda_stoikov,84.50000000002183,10.500000000000007
,29,136,0.42647059,58,0,128.0,0.0,81.3000000000211,3,0.8733333333333333,3.0,3,81.3000000000211,bayesian_toxicity,101.0,103,calm_high_cost,100010,29,300,bayesian_toxicity,81.3000000000211,8.700000000000005
,50,233,0.48927039,114,-14,228.0,28.28,94.72000000008848,22,12.196666666666667,68.0,38,66.44000000008847,fixed_spread,62.0,175,volatile_low_cost,100011,64,300,fixed_spread,66.44000000008847,2.2800000000000016
,39,182,0.41758242,76,2,172.0,4.04,-4.520000000040454,5,1.91,27.0,15,-8.560000000040453,inventory_aware,69.0,134,volatile_low_cost,100011,37,300,inventory_aware,-8.560000000040453,1.520000000000001
,41,190,0.42105263,80,2,180.0,4.04,-14.600000000053114,6,2.0566666666666666,30.0,17,-18.640000000053114,avellaneda_stoikov,72.0,143,volatile_low_cost,100011,39,300,avellaneda_stoikov,-18.640000000053114,1.600000000000001
,30,137,0.42335766,58,2,138.0,4.04,-114.16000000002532,3,1.3966666666666667,16.0,11,-118.20000000002533,bayesian_toxicity,69.0,100,volatile_low_cost,100011,28,300,bayesian_toxicity,-118.20000000002533,1.1600000000000004
,46,233,0.46351931,108,-16,216.0,34.4,211.80000000013388,26,7.786666666666667,78.0,34,177.40000000013387,fixed_spread,19.0,172,volatile_high_cost,100012,62,300,fixed_spread,177.40000000013387,16.20000000000002
,36,174,0.40229885,70,2,155.0,4.3,-34.49999999999636,5,1.9366666666666668,58.0,27,-38.79999999999636,inventory_aware,15.0,130,volatile_high_cost,100012,34,300,inventory_aware,-38.79999999999636,10.500000000000007
,42,201,0.43781095,88,-4,200.0,8.6,-31.199999999938882,15,4.496666666666667,66.0,31,-39.79999999993888,avellaneda_stoikov,32.0,149,volatile_high_cost,100012,46,300,avellaneda_stoikov,-39.79999999993888,13.200000000000015
,23,113,0.4159292,47,-1,113.0,2.15,-22.04999999998654,4,1.3233333333333333,26.0,16,-24.199999999986538,bayesian_toxicity,28.0,84,volatile_high_cost,100012,24,300,bayesian_toxicity,-24.199999999986538,7.050000000000002
,31,173,0.37572254,65,-3,130.0,6.0600000000000005,-120.30000000009386,12,4.253333333333333,7.0,7,-126.36000000009386,fixed_spread,90.0,129,calm_low_cost,100013,34,300,fixed_spread,-126.36000000009386,1.3000000000000007
